objid,ra,dec,z,zerr,class,subclass,plate,mjd,fiberid,dist_comov,x,y,z_coord
1237667444045709464,187.232405086974,28.2413409588797,0.4250861,9.345549e-05,GALAXY,,6474,56362,163,1688.9552417630716,-1476.0675386865978,-187.31890608788524,799.190876660065
1237667324331688374,187.427575618456,28.3304694588064,0.5748856,0.0001655597,GALAXY,,6474,56362,165,2192.40312458713,-1913.6153816842284,-249.4718334878276,1040.4188752503283
1237667324331622439,187.226947891532,28.3240870318565,0.5686653,0.0001558913,GALAXY,,6474,56362,167,2172.393509135283,-1897.1180749737734,-240.56831149607618,1030.7101705352668
1237667324331623015,187.313877671981,28.4403793614813,0.5209256,5.511157e-05,GALAXY,AGN,6474,56362,169,2016.2812861666512,-1758.5173580197466,-225.70420453574235,960.2419166772422
1237667324331622907,187.25327143925,28.3220264052824,0.5682534,0.0001698394,GALAXY,,6474,56362,171,2171.0658261544872,-1895.8847211014452,-241.29700237423623,1030.0115059722243
1237665440439206228,187.401672208952,28.8507549771092,0.2167251,4.872064e-05,GALAXY,,6474,56362,172,910.1849490478045,-790.5695601457223,-102.70052118337351,439.19131935048205
1237667324331622844,187.227278688763,28.3927056723352,0.741169,0.0001101141,GALAXY,,6474,56362,173,2700.1655767235566,-2356.4878428154607,-298.83354894121186,1283.9617199951847
1237667252942995532,187.325857586649,29.001733172808,0.0502833,1.074035e-05,GALAXY,,6474,56362,174,220.1594139689552,-190.98072653528848,-24.552804393110037,106.74122656050382
1237667444582580487,187.255441847117,28.5817674128108,0.4729056,0.0001349456,GALAXY,,6474,56362,175,1854.634716656805,-1615.579710365881,-205.683628290067,887.2803259039367
1237667324331688461,187.456807399988,28.4688194348529,0.5886307,0.0001881032,GALAXY,,6474,56362,177,2236.3512085033344,-1949.2982723130217,-255.13517998829118,1066.0248652185064
1237667252942996015,187.469253777885,29.0088553349238,0.6052989,0.0001394041,GALAXY,,6474,56362,178,2289.15475447678,-1984.981133838619,-260.2441520195668,1110.1136741739622
1237665440439140844,187.308862121832,28.8544079917059,0.5621189,0.0001435802,GALAXY,,6474,56362,179,2151.2530234841274,-1868.8630852687743,-239.70069518826102,1038.1637232611927
1237667252942995590,187.422349128193,29.0953159900678,0.1139584,1.166649e-05,GALAXY,STARFORMING,6474,56362,180,491.24423414256785,-425.65830264378246,-55.452205198954886,238.87436008769356
1237665440976077326,187.494159125509,29.3138076647464,0.5689628,0.0001426812,GALAXY,,6474,56362,181,2173.35223829495,-1878.8700619086082,-247.16308242561615,1064.0571661574766
1237667252942930555,187.302499025919,29.1189987451424,0.6644871,0.0002066538,GALAXY,,6474,56362,183,2472.3866150404588,-2142.3847248113334,-274.540789529623,1203.1253550693443
1237665440976077531,187.509461981486,29.285443682083,0.5684959,0.000243918,GALAXY,,6474,56362,185,2171.847520006458,-1878.0248397711905,-247.56218520186673,1062.382848044279
1237667253479866817,187.357103560138,29.4190515478734,0.4942797,0.0001646403,GALAXY,,6474,56362,187,1927.1638944763001,-1664.837273468566,-214.95727022894718,946.6102159910014
1237667253479801483,187.312536869924,29.4914763702332,0.6237054,0.0001353563,GALAXY,,6474,56362,189,2346.845915438952,-2026.1480340293288,-260.00617809984686,1155.3383410765393
1237665441512882616,187.292182672163,29.6294079642295,0.5194192,0.0001446589,GALAXY,,6474,56362,191,2011.2813317686791,-1734.1482203252062,-221.90902802325243,994.3535230218106
1237665441512882734,187.350126477316,29.6772413661187,0.6585144,8.486212e-05,GALAXY,,6474,56362,193,2454.194835585001,-2114.7526887799127,-272.78677813857587,1215.1052341188376
1237665441512882655,187.312501891012,29.681415668979,0.5536938,0.0001564869,GALAXY,,6474,56362,195,2123.921567302747,-1830.238482473669,-234.86487839911422,1051.7168869143482
1237665441512948186,187.484706969438,29.6968226255315,0.4551565,0.0001239246,GALAXY,,6474,56362,197,1793.6932603694358,-1544.8321745269375,-202.96154515253627,888.6144698520305
1237665441512948066,187.433430424336,29.7201793212478,0.5102447,0.0001312567,GALAXY,,6474,56362,199,1980.7312557327007,-1705.7231913820506,-222.54686771045027,981.9763711465471
1237667444045644469,187.186766275288,28.2548552292517,0.4630982,9.210778e-05,GALAXY,,6474,56362,201,1821.041403470622,-1591.4633178612619,-200.67513277307032,862.0706421998069
1237667444045644448,187.180976344051,28.2789726249955,0.5457053,0.0001582293,GALAXY,,6474,56362,203,2097.8770035207317,-1833.00678127127,-230.94431561503413,993.9007922321857
1237667324331557392,187.104177915666,28.3554750313756,0.6287501,0.0002664464,GALAXY,,6474,56362,205,2362.5448497800203,-2063.1205282539095,-257.1280209069718,1122.0681948900751
1237667324331556921,187.183350196665,28.3429993560783,0.4828281,9.912641e-05,GALAXY,,6474,56362,207,1888.4211400862712,-1648.9944751292192,-207.8296298355801,896.5257766960463
1237667324331622783,187.200669372165,28.4042414792747,0.5041638,0.0001154749,GALAXY,,6474,56362,209,1960.3889138118188,-1710.7844713174086,-216.14264458036484,932.5360814946004
1237667324331622743,187.188220201387,28.4605584364871,0.4831975,0.000123041,GALAXY,,6474,56362,210,1889.6750642699837,-1648.2420240741776,-207.87711885026374,900.5316108044951
1237667444582515148,187.115538582701,28.587999767021,0.5185379,0.0001349777,GALAXY,,6474,56362,211,2008.3540578337488,-1749.920167300526,-218.44603535082211,961.0134022643454
1237667444582515156,187.123392191174,28.6648862916641,0.5177313,0.000148002,GALAXY,,6474,56362,212,2005.673534043775,-1746.2751355173207,-218.2341171705641,962.0932108379071
